Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
Samsung E&A,3.9,753,"Salary & Benefits, Job Security, Work Life Balance",2.3k,71,1,112,2
CADD Centre Training Services,4.0,753,Skill Development / Learning,2k,37,5,91,--
BDO,3.2,753,"Promotions / Appraisal, Company Culture, Work Satisfaction",5.3k,53,3,17,6
IFFCO,4.1,753,"Job Security, Salary & Benefits, Work Life Balance",1.8k,48,--,87,2
BNP Paribas India Solutions,3.6,753,"Job Security, Work Life Balance",6.3k,76,--,110,3
Hitachi Digital Services,3.5,752,"Promotions / Appraisal, Work Satisfaction, Company Culture",2k,67,168,49,44
BCD Travel,4.3,753,"Work Life Balance, Job Security, Company Culture",1.8k,139,23,36,12
Fidelity International,3.5,753,"Promotions / Appraisal, Job Security, Work Satisfaction",5.5k,57,96,82,--
Allied Digital Services,3.1,751,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",3.2k,65,6,33,25
SLK Global Services,3.8,750,Company Culture,2.8k,33,--,95,--
Brane Enterprises,2.1,750,"Job Security, Company Culture, Work Satisfaction",3.4k,146,--,19,10
Radical Minds,2.9,750,"Promotions / Appraisal, Job Security, Salary & Benefits",2.6k,63,7,35,1
McDermott International,4.2,750,"Company Culture, Work Life Balance, Salary & Benefits",3.5k,59,38,72,1
Times Internet,3.5,749,"Promotions / Appraisal, Work Satisfaction, Job Security",5.4k,73,15,70,11
Vijaya Diagnostic Centre,3.9,749,"Skill Development / Learning, Company Culture, Work Life Balance",1.9k,44,111,133,2
Assystem,3.4,748,"Promotions / Appraisal, Company Culture, Job Security",2k,49,284,2,--
Forvia Hella,3.9,748,Work Life Balance,3.4k,46,87,75,1
Central Industrial Security Force,4.3,749,"Job Security, Salary & Benefits, Skill Development / Learning",1.9k,23,--,76,5
HSBC Software Development,4.1,747,"Work Life Balance, Company Culture, Work Satisfaction",8.2k,25,--,6,--
Amber Enterprises India,3.9,747,Skill Development / Learning,2.9k,52,12,39,2
Mswipe Technologies,3.3,747,"Promotions / Appraisal, Job Security, Company Culture",2.4k,34,--,56,3
Axtria,2.8,746,"Work Satisfaction, Company Culture, Work Life Balance",7.2k,132,135,75,126
Universal Sompo General Insurance,4.3,748,"Work Life Balance, Company Culture, Job Security",2.1k,127,1,42,--
Hilti,3.4,746,"Promotions / Appraisal, Work Satisfaction, Job Security",3.5k,68,27,79,5
Finolex Cables,3.6,745,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.6k,44,13,45,--
India Cements,3.8,742,Job Security,2.6k,51,--,61,1
Bses Rajdhani Power,3.8,742,"Job Security, Work Life Balance",2.7k,54,2,62,--
Bitwise Solutions,3.7,742,"Company Culture, Work Life Balance",4.4k,57,2,120,--
OLX,3.8,741,"Salary & Benefits, Work Life Balance",3.2k,67,7,112,--
ESL Steel,3.8,741,Salary & Benefits,2.1k,37,--,87,--
Sharda Motor Industries,3.8,741,Job Security,2.8k,51,33,84,1
Reliance BP Mobility,3.6,741,"Promotions / Appraisal, Work Satisfaction, Company Culture",2.7k,69,4,20,--
Amadeus,3.7,741,"Work Life Balance, Job Security",6.9k,123,29,93,3
Regulated Council of Immigration Consultants,5.0,740,"Company Culture, Work Life Balance, Work Satisfaction",--,--,--,--,--
Alivus Life Sciences,3.8,740,Job Security,4k,40,3,42,--
Hapag-Lloyd,3.9,739,"Company Culture, Job Security, Work Life Balance",3k,29,1,72,--
Consero Global Solutions,3.5,739,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.5k,107,--,23,--
Veradigm,3.8,739,"Work Life Balance, Salary & Benefits",3.6k,43,34,7,--
Dineshchandra R. Agrawal Infracon,4.0,740,"Salary & Benefits, Job Security, Work Life Balance",2.4k,54,18,33,1
Vaaman Engineers,3.8,739,Promotions / Appraisal,2.2k,69,7,55,--
Mott MacDonald,4.0,740,"Work Life Balance, Company Culture, Salary & Benefits",2.7k,56,230,48,7
Galfar,4.0,738,"Job Security, Work Life Balance, Skill Development / Learning",1.8k,31,--,81,--
Vertex Customer Solutions,3.6,738,"Salary & Benefits, Work Satisfaction, Job Security",1.1k,15,--,87,1
Indusind Marketing & Financial Services,3.7,737,"Promotions / Appraisal, Salary & Benefits",1.5k,32,--,60,--
ffreedom app,3.5,737,"Job Security, Work Satisfaction, Company Culture",1.5k,64,--,1,12
Wapcos,3.3,736,"Promotions / Appraisal, Job Security, Salary & Benefits",2.3k,37,--,38,--
VA Tech Wabag,3.8,735,Job Security,2.8k,55,26,87,1
Bunge India,4.0,735,"Salary & Benefits, Work Life Balance, Job Security",3k,50,129,59,--
National Informatics Centre,3.9,735,Work Life Balance,4.1k,41,--,24,--
Integreon,3.2,735,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",3.8k,55,51,84,--
JM Financial,3.8,733,Work Life Balance,3.8k,57,4,33,5
Exicom,4.0,732,"Company Culture, Work Life Balance, Job Security",2.9k,54,15,68,1
CMS Computers Limited (INDIA),3.7,731,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.1k,42,7,52,1
EMERSON PROCESS MANAGEMENT,4.1,731,"Company Culture, Work Life Balance, Job Security",4.3k,62,--,76,4
Ramkrishna Forgings,3.4,731,"Promotions / Appraisal, Company Culture, Salary & Benefits",2.8k,62,1,52,--
Primus Global Technologies,3.8,731,Work Life Balance,3k,24,20,61,--
Sun Life Financial,3.8,729,"Job Security, Company Culture, Work Life Balance",4.2k,53,77,111,10
Deepak Nitrite,4.0,729,"Job Security, Work Life Balance",3.1k,52,21,69,--
ManipalCigna Health Insurance,3.7,728,"Work Satisfaction, Promotions / Appraisal",2.9k,42,92,42,6
LifeCell International,3.4,728,"Job Security, Promotions / Appraisal, Work Satisfaction",2.8k,51,1,70,--
India Japan Lighting,4.1,728,"Company Culture, Work Life Balance, Job Security",2.5k,61,--,67,6
UnitedLex,2.8,727,"Promotions / Appraisal, Job Security, Salary & Benefits",3.7k,72,66,58,7
TO THE NEW,3.6,727,"Promotions / Appraisal, Work Satisfaction",5.5k,148,34,93,1
Zee Entertainment Enterprises,3.5,727,"Promotions / Appraisal, Job Security, Company Culture",4.3k,54,61,49,6
Isuzu Motors,4.1,727,"Company Culture, Job Security, Work Life Balance",2.9k,51,2,88,--
Religare,3.7,726,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",2.4k,32,14,29,1
GirnarSoft,3.6,725,"Promotions / Appraisal, Job Security, Work Satisfaction",3.3k,35,7,98,2
Lavender Technology,4.9,724,"Company Culture, Promotions / Appraisal, Skill Development / Learning",19,4,--,53,3
Livguard,3.9,724,Promotions / Appraisal,2.2k,43,--,13,1
Rackspace,3.7,722,"Work Life Balance, Company Culture, Salary & Benefits",4.4k,82,--,55,2
Adidas,3.9,722,"Salary & Benefits, Work Life Balance",3.6k,80,26,60,1
Wipro Digital,3.6,721,Job Security,7k,82,--,79,3
Ugro Capital,3.7,721,Salary & Benefits,2.6k,42,2,23,3
Smollan Group,3.9,717,"Company Culture, Work Life Balance",1.8k,45,14,37,5
Boeing,3.8,719,Work Life Balance,6.6k,100,25,62,4
Steel Authority Of India,4.0,717,"Work Life Balance, Job Security, Work Satisfaction",2.2k,46,--,57,3
DuPont,4.2,716,"Company Culture, Work Life Balance, Job Security",3k,45,6,91,1
Greenply,3.8,716,Salary & Benefits,2.3k,56,9,49,--
Celebal Technologies,3.0,715,"Job Security, Promotions / Appraisal, Company Culture",4.1k,128,14,13,3
Biba Apparels,3.5,715,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.2k,46,--,65,3
Expleo Solutions,3.5,713,"Promotions / Appraisal, Job Security, Salary & Benefits",4.7k,72,8,27,5
ASG Eye Hospital,3.5,712,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.7k,59,85,39,--
V-Trans,3.8,712,Job Security,1.9k,34,--,51,2
XcelServ Solutions,4.4,711,"Company Culture, Work Life Balance, Work Satisfaction",422,11,--,11,--
Z X Learning,4.4,711,"Company Culture, Work Life Balance, Promotions / Appraisal",358,44,--,177,--
Molex,3.9,710,"Company Culture, Work Life Balance",3.7k,65,10,62,--
Neuland Laboratories,4.0,710,"Company Culture, Work Life Balance, Skill Development / Learning",2.9k,51,10,71,3
Care Hospital,4.0,709,"Skill Development / Learning, Job Security, Company Culture",2.1k,32,60,65,11
uFaber,2.2,709,"Promotions / Appraisal, Job Security, Salary & Benefits",1.4k,54,--,57,3
Lenovo,4.0,708,"Company Culture, Work Life Balance, Job Security",3.9k,51,4,58,41
Sykes Business Services Of India,3.3,708,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.6k,53,4,205,33
NecLife,3.6,707,Job Security,2.3k,62,3,55,2
RITES,4.0,706,"Work Life Balance, Work Satisfaction, Skill Development / Learning",2.4k,36,4,60,1
McKinsey & Company,3.8,705,"Company Culture, Salary & Benefits",8.2k,246,5,63,--
TDK India Private Limited,3.9,704,"Work Life Balance, Job Security",2.2k,45,--,58,19
Google Operations Center,3.6,705,Work Life Balance,3.6k,97,--,43,7
Embibe,3.4,702,"Job Security, Promotions / Appraisal, Company Culture",2.6k,61,--,84,39
Protiviti,3.0,702,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",4.8k,68,21,25,8
BDO India LLP,3.3,702,"Promotions / Appraisal, Salary & Benefits, Company Culture",3.9k,88,98,41,8
LG Soft India,2.9,702,"Promotions / Appraisal, Company Culture, Work Satisfaction",4.4k,107,--,67,1
BSH Home Appliances Group,3.9,701,"Work Life Balance, Salary & Benefits",2.3k,39,11,5,--
Ameriprise Financial,3.7,701,"Work Life Balance, Job Security",4.9k,71,--,96,--
Ag Industries,4.0,701,"Work Life Balance, Job Security, Company Culture",2.8k,51,--,58,4
Mitsubishi Electric India,4.2,700,"Company Culture, Work Life Balance, Job Security",2.8k,44,9,57,5
Bikanervala,3.9,700,"Work Life Balance, Job Security",2k,28,--,61,--
Rentokil Pest Control,3.5,698,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2k,42,323,71,--
TCNS Clothing Company,4.1,699,"Skill Development / Learning, Work Life Balance, Company Culture",1.6k,26,--,61,--
Turtlemint,3.6,700,"Promotions / Appraisal, Job Security, Work Satisfaction",2.4k,51,12,28,--
Kurlon,4.3,697,"Work Life Balance, Company Culture, Work Satisfaction",2.1k,37,--,88,--
Aisin Automotive Haryana,4.1,698,"Company Culture, Work Life Balance, Job Security",2.4k,44,--,81,3
Redcliffe Labs,3.9,697,"Salary & Benefits, Work Life Balance, Skill Development / Learning",1.8k,59,24,56,25
Sterlite Power,4.1,697,"Salary & Benefits, Company Culture, Work Life Balance",3.1k,36,22,68,--
Nvidia,3.5,695,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",5.1k,125,147,69,20
Medreich,3.9,695,Job Security,2.9k,57,3,69,10
Samunnati,4.5,695,"Company Culture, Work Life Balance, Work Satisfaction",883,66,2,286,6
Stellantis,3.4,694,"Promotions / Appraisal, Job Security, Company Culture",4.7k,60,3,17,--
Toppr,3.4,693,"Job Security, Promotions / Appraisal, Work Life Balance",3.3k,66,--,94,12
Evision Technoserve,4.8,693,"Company Culture, Work Life Balance, Work Satisfaction",207,274,--,23,--
Padget Electronics,3.9,694,"Skill Development / Learning, Job Security",2.5k,76,--,24,1
Raychem RPG,3.7,693,Work Life Balance,2.4k,31,273,91,7
Transrail Lighting,4.0,693,"Job Security, Salary & Benefits, Work Life Balance",2.4k,56,--,47,12
B. G. Shirke Construction Technology,4.2,693,"Job Security, Company Culture, Work Life Balance",2.6k,42,4,84,1
Tavant Technologies,3.9,692,"Company Culture, Work Life Balance",6.1k,81,23,88,11
Mindsprint,3.6,692,"Promotions / Appraisal, Work Satisfaction",3.8k,66,67,102,5
Writer Information Management Services,3.2,692,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.6k,36,--,26,--
The Akshaya Patra Foundation,4.3,692,"Work Life Balance, Company Culture, Work Satisfaction",1.9k,41,13,62,48
Transsion,3.9,691,"Work Life Balance, Company Culture, Work Satisfaction",2.6k,37,3,70,4
AI Airport Services,3.3,691,"Promotions / Appraisal, Company Culture, Salary & Benefits",1.6k,45,--,3,--
Mynd Solutions Private,3.6,690,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.2k,32,--,42,3
Delta Electronics,3.9,691,"Work Life Balance, Job Security",3.5k,63,2,41,10
Thriveni Earthmovers,4.0,689,"Job Security, Skill Development / Learning, Salary & Benefits",2.5k,58,--,86,1
Lovely Professional University,3.4,689,"Promotions / Appraisal, Work Satisfaction, Company Culture",1.9k,58,12,48,--
Bristlecone,3.6,689,Work Life Balance,6k,65,4,56,1
Experis IT,3.0,898,"Promotions / Appraisal, Job Security, Skill Development / Learning",2.9k,67,--,43,1
HSBC Bank,3.9,688,"Company Culture, Job Security, Work Life Balance",3k,39,1,20,--
Goodyear,3.6,686,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.6k,68,1,49,14
HRH Next Services,2.9,686,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",2k,50,10,52,--
Titan Eye Plus,4.1,686,"Skill Development / Learning, Company Culture, Work Life Balance",1.4k,33,--,57,2
Nippon Koei India,4.7,707,"Company Culture, Work Life Balance, Work Satisfaction",1.2k,109,3,27,11
Csc E Governance Services,3.8,685,"Promotions / Appraisal, Company Culture, Job Security",1.7k,45,3,43,3
Ramky Infrastructure,4.2,684,"Job Security, Salary & Benefits, Company Culture",1.8k,51,--,64,2
Koch Business Solutions,3.2,684,"Promotions / Appraisal, Job Security, Work Satisfaction",4.8k,66,1,44,--
Flash Electronics,3.6,684,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.5k,34,--,60,--
Bahwan CyberTek,3.4,683,"Promotions / Appraisal, Job Security, Work Satisfaction",4.6k,53,94,24,23
Amrit Cement,3.9,683,"Skill Development / Learning, Work Life Balance",1.4k,79,14,30,3
Gartner,3.8,683,"Work Life Balance, Company Culture",6.3k,94,40,23,12
Volkswagen Group Technology Solution,3.9,684,"Work Life Balance, Job Security, Company Culture",4.3k,75,11,15,4
Visteon,3.2,682,"Work Life Balance, Company Culture, Promotions / Appraisal",4.5k,60,30,47,--
Caparo Engineering India,4.0,682,"Skill Development / Learning, Company Culture, Work Life Balance",2.5k,32,--,62,2
North East Small Finance Bank,3.6,682,"Promotions / Appraisal, Job Security, Company Culture",1.8k,29,6,42,8
NSB Bpo Solutions,2.9,682,"Promotions / Appraisal, Salary & Benefits, Job Security",1.7k,35,--,37,1
Wuerth,3.5,683,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.3k,45,16,74,--
Electrosteel Casting,3.7,682,"Job Security, Work Life Balance",2.6k,53,--,40,2
URC Construction,3.7,681,"Promotions / Appraisal, Company Culture, Work Life Balance",2.4k,67,7,32,2
Neeyamo Enterprise Solutions,3.5,681,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",4k,64,8,69,--
Electrosteel Casting,3.7,682,"Job Security, Work Life Balance",2.6k,53,--,40,2
Apple,4.3,681,"Company Culture, Work Life Balance, Skill Development / Learning",5k,162,292,51,8
Eugia Pharma Specialities,4.0,681,"Job Security, Salary & Benefits, Work Life Balance",2.6k,41,--,28,3
Bharat Serums and Vaccines,4.0,680,"Company Culture, Work Life Balance",2.2k,30,17,62,1
Micro Turners,3.8,680,Skill Development / Learning,2.2k,36,--,49,--
Aurigo Software Technologies,4.6,679,"Company Culture, Work Life Balance, Work Satisfaction",933,35,23,136,14
Bisk Farm,4.0,679,"Work Life Balance, Job Security, Skill Development / Learning",1.6k,29,13,46,1
Healthians,4.2,679,"Company Culture, Work Life Balance, Work Satisfaction",1.9k,139,1,24,6
Testbook.com,3.4,679,"Job Security, Promotions / Appraisal, Work Satisfaction",4.4k,107,--,22,10
Vindhya Telelinks,4.0,680,"Salary & Benefits, Work Life Balance",2k,44,2,34,--
Asb International,3.7,679,"Job Security, Skill Development / Learning",2.7k,32,--,51,--
Genus Power Infrastructures,3.9,679,"Job Security, Work Life Balance, Skill Development / Learning",2.8k,66,--,49,13
Bayer Crop Science Vegetable Seeds,4.2,678,"Work Life Balance, Company Culture, Work Satisfaction",908,37,--,3,--
Writer Corporation,3.4,678,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2k,34,22,31,2
Ascendion,3.4,677,"Promotions / Appraisal, Job Security, Work Satisfaction",3.2k,113,9,7,12
TTK Prestige,3.8,677,Job Security,2.4k,46,5,49,1
Razorpay,3.4,676,"Promotions / Appraisal, Work Satisfaction, Job Security",6k,168,59,40,7
Cohesity,3.8,676,"Work Life Balance, Company Culture, Salary & Benefits",5k,85,8,83,--
Future Supply Chain Solutions,4.3,675,"Company Culture, Work Satisfaction, Skill Development / Learning",2.2k,22,--,91,1
Home First Finance Company India,3.6,675,Salary & Benefits,2.3k,65,304,27,--
Patel Engineering,4.0,674,"Job Security, Work Life Balance, Work Satisfaction",2.2k,44,--,54,5
LEAP India Limited,4.6,681,"Work Life Balance, Salary & Benefits, Company Culture",1.2k,27,6,30,14
Infor Global Solution,3.9,673,"Work Life Balance, Job Security, Company Culture",6.4k,83,1,66,9
Snapdeal,3.8,673,"Company Culture, Work Life Balance",2.7k,76,29,119,12
Government of India,4.2,672,"Job Security, Work Life Balance, Work Satisfaction",3.7k,64,--,85,2
Medtronic,3.9,672,"Salary & Benefits, Company Culture, Work Life Balance",4.4k,79,289,62,--
Eastman Auto and Power Limited,3.9,672,"Salary & Benefits, Company Culture, Work Life Balance",2k,89,16,15,8
Ness Digital Engineering,3.3,672,"Job Security, Promotions / Appraisal, Work Satisfaction",5.5k,67,26,9,2
Diebold Nixdorf,3.6,672,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",3.5k,54,26,87,11
Orient Cement,4.4,671,"Company Culture, Work Life Balance, Job Security",2.4k,47,--,80,--
Doosan Power Systems,4.3,671,"Company Culture, Work Life Balance, Work Satisfaction",2.5k,44,--,82,24
IHG,3.6,672,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.7k,39,50,87,--
ChannelPlay,3.8,671,"Company Culture, Work Life Balance",1.9k,29,138,91,--
NextComm Corporation,4.8,671,"Work Life Balance, Company Culture, Work Satisfaction",36,6,--,31,3
Livpure,3.8,670,Promotions / Appraisal,2.2k,40,13,48,3
Redington,4.0,671,"Job Security, Company Culture, Work Life Balance",3k,37,--,68,--
Cotiviti,3.6,670,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",4.3k,86,25,53,9
Wolters Kluwer,3.8,670,"Work Life Balance, Job Security",4.7k,94,87,53,1
Central Bank of India,3.9,670,"Work Life Balance, Skill Development / Learning",1.4k,41,--,36,1
PPG Asian Paints,3.9,670,"Job Security, Salary & Benefits",2.7k,43,--,64,3
Keventer,3.8,669,Work Life Balance,2.1k,33,8,58,--
Quess IT Staffing Solutions,3.1,670,"Promotions / Appraisal, Work Satisfaction, Job Security",1.6k,43,--,9,--
DAV Public School,3.9,669,"Skill Development / Learning, Salary & Benefits",1.3k,34,--,84,2
TVS Electronics,3.7,668,Work Life Balance,2.2k,31,4,63,--
Radico Khaitan,4.1,668,"Job Security, Work Life Balance, Skill Development / Learning",2k,61,--,34,9
YOKOGAWA,3.8,667,Job Security,3.6k,59,96,74,--
Surya Roshni,4.1,666,"Work Life Balance, Job Security, Company Culture",2.1k,20,--,50,3
CtrlS,3.6,665,Salary & Benefits,3k,52,9,86,5
Kutumbh Care,4.0,664,"Work Life Balance, Company Culture, Work Satisfaction",1.6k,33,--,56,2
BASF,4.2,664,"Company Culture, Work Life Balance, Work Satisfaction",2.3k,34,5,67,10
Housing.com,3.5,664,Salary & Benefits,2.8k,76,39,68,40
PrimEra Medical Technologies,3.6,664,Job Security,3.5k,71,59,42,--
Solv,3.6,665,Salary & Benefits,1.7k,41,2,18,1
ExportersIndia,4.9,663,"Company Culture, Work Life Balance, Work Satisfaction",130,32,8,11,59
L&T Power,3.9,663,"Job Security, Skill Development / Learning",3.4k,37,--,100,--
Triveni Engineering & Industries,4.1,662,"Job Security, Work Life Balance, Salary & Benefits",2.4k,46,--,59,2
Rane NSK Steering Systems,4.0,662,"Skill Development / Learning, Company Culture, Work Satisfaction",2k,39,--,64,1
Emami Agrotech,3.9,662,"Work Life Balance, Job Security",2.5k,43,--,54,--
Emami Agrotech,3.9,662,"Work Life Balance, Job Security",2.5k,43,--,54,--
SG Analytics,2.6,661,"Promotions / Appraisal, Work Satisfaction, Job Security",3.5k,80,8,50,1
Vizag Steel,4.0,661,"Work Life Balance, Job Security, Company Culture",1.6k,35,--,53,1
Nephroplus,3.8,661,"Work Life Balance, Skill Development / Learning",3k,48,79,39,2
Tredence,3.4,662,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",5.7k,146,56,44,7
Cogoport,3.2,661,"Job Security, Company Culture, Work Life Balance",1.8k,56,4,6,--
R.V.R. PROJECTS,3.9,661,Salary & Benefits,1.6k,58,13,29,--
Nomura Holdings,3.7,660,Job Security,6.8k,75,270,84,34
Lionbridge Technologies,3.6,660,Work Life Balance,3.8k,50,5,59,5
Dhanuka Agritech,3.7,659,"Promotions / Appraisal, Work Satisfaction, Job Security",1.8k,47,--,60,2
Blue Yonder,3.6,659,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",6.8k,68,137,67,8
Quislex Legal Services,4.0,659,"Company Culture, Work Life Balance, Skill Development / Learning",1.8k,37,1,55,1
Dodla Dairy,4.2,659,"Job Security, Work Life Balance, Company Culture",1.9k,42,11,55,3
Osource Global,3.5,662,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",2.6k,27,20,3,--
EPL Limited,3.7,658,"Job Security, Skill Development / Learning",1.8k,29,--,70,4
Qatar Airways,3.5,658,Salary & Benefits,2k,70,13,63,--
PeopleStrong,3.4,658,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",3.2k,54,1,46,--
Sandvik Asia,4.0,658,"Job Security, Salary & Benefits, Company Culture",1.6k,33,1,94,11
Videocon d2h,3.9,657,"Company Culture, Work Life Balance, Skill Development / Learning",1.2k,28,--,105,--
Technotask Business Solutions,3.6,666,"Promotions / Appraisal, Salary & Benefits, Job Security",1.9k,62,17,12,--
Autoliv,4.0,656,"Job Security, Company Culture, Salary & Benefits",2.7k,41,--,56,--
MPS Limited,3.5,655,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.9k,37,18,41,28
Lohia Corp,4.0,657,"Job Security, Skill Development / Learning, Company Culture",2.4k,72,--,40,2
Trianz,3.4,655,"Job Security, Promotions / Appraisal, Company Culture",4.7k,61,19,60,2
Y-Axis Overseas Careers,3.7,659,Skill Development / Learning,1.4k,53,1,237,22
R.S. Infraprojects,4.0,654,"Work Life Balance, Job Security, Company Culture",1.6k,37,--,60,1
Saint Gobain Glass,3.8,653,"Job Security, Company Culture, Skill Development / Learning",1.9k,28,--,1,--
Ingram Micro,3.6,653,"Promotions / Appraisal, Work Satisfaction, Job Security",3.3k,32,--,66,--
Bridgestone - Global Capability Center,4.0,653,"Company Culture, Work Life Balance, Job Security",2.6k,48,7,59,--
Leverage Edu,4.1,651,"Salary & Benefits, Company Culture, Work Satisfaction",1.7k,67,43,10,--
Jubilant Ingrevia,3.8,652,Promotions / Appraisal,2.8k,51,--,21,--
Orient Technologies,3.6,651,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.9k,47,9,42,2
TIAA Global Business Services,3.7,650,"Work Life Balance, Salary & Benefits",4.9k,51,3,122,--
PCBL Chemical Limited,4.0,649,"Salary & Benefits, Job Security, Skill Development / Learning",2.5k,72,11,47,1
Patel Infrastructure Limited,3.9,650,"Work Life Balance, Work Satisfaction",2k,33,12,70,8
Omaxe,4.2,648,"Work Life Balance, Salary & Benefits, Company Culture",2.1k,39,8,52,--
Mahindra Integrated Business Solutions,3.5,648,"Promotions / Appraisal, Work Satisfaction, Job Security",2.5k,43,4,22,8
Corteva Agriscience,4.2,647,"Company Culture, Work Life Balance, Job Security",2.6k,38,2,54,1
Office Beacon,4.6,647,"Company Culture, Work Life Balance, Work Satisfaction",752,64,--,11,--
Epicenter Technologies,3.3,647,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.2k,40,6,76,--
Epicenter Technologies,3.3,647,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.2k,40,6,76,--
Marlabs,3.5,647,Work Life Balance,5.1k,40,2,47,--
Optimum Infosystem,3.2,645,"Job Security, Promotions / Appraisal, Skill Development / Learning",3.4k,57,42,17,18
Progressive Infovision,3.8,644,Work Life Balance,1.1k,42,--,71,--
Capco Technologies,3.7,644,"Work Life Balance, Company Culture",4.7k,88,150,46,19
Alshaya Group,3.8,643,Work Life Balance,2.3k,48,--,83,9
ReSource Pro,3.8,643,,3.1k,123,34,49,2
JSW Energy,4.1,642,"Job Security, Salary & Benefits, Work Life Balance",3.4k,49,--,35,8
Tata Power Delhi Distribution,3.7,642,"Job Security, Work Life Balance",2.8k,33,6,62,2
Data Entry,4.2,642,"Company Culture, Work Satisfaction, Skill Development / Learning",1.9k,122,7,50,--
TransUnion,3.7,640,"Work Life Balance, Salary & Benefits",5.8k,101,20,55,13
SMC Global Securities,3.4,639,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.5k,54,10,26,1
Quality Austria Central Asia,3.5,640,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.8k,26,20,53,--
Welspun World,3.6,638,"Promotions / Appraisal, Company Culture, Work Life Balance",2.4k,58,86,81,1
Nihilent,3.2,638,"Promotions / Appraisal, Job Security, Work Satisfaction",4.9k,65,32,51,25
Neurealm,3.4,638,"Job Security, Promotions / Appraisal, Work Satisfaction",5.3k,76,56,44,1
Centaur Pharmaceuticals,3.5,637,"Promotions / Appraisal, Work Satisfaction, Company Culture",2.8k,31,6,43,--
Fiat India Automobiles,3.6,637,"Promotions / Appraisal, Company Culture, Work Life Balance",2.3k,43,1,58,--
Pennar Industries,3.4,637,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.9k,36,5,62,--
Wissen Infotech,3.5,637,"Job Security, Promotions / Appraisal, Work Satisfaction",4.6k,59,29,57,9
Mindarika,4.0,637,"Job Security, Skill Development / Learning",2k,48,--,57,--
Yatra,3.3,636,"Promotions / Appraisal, Skill Development / Learning, Company Culture",3k,34,4,58,5
Indorama,3.9,636,"Job Security, Work Life Balance",2.2k,38,5,36,2
Times Group,3.7,635,Work Life Balance,4.8k,31,11,74,2
DeHaat,3.6,635,"Job Security, Promotions / Appraisal, Work Satisfaction",1.9k,65,14,21,1
Vasudha Pharma Chem,4.0,634,"Job Security, Company Culture, Work Life Balance",2.3k,32,1,62,--
TCI Express,3.9,636,"Job Security, Work Life Balance, Skill Development / Learning",1.8k,43,--,53,--
Shalby Hospitals,4.1,634,"Work Life Balance, Skill Development / Learning, Company Culture",2k,69,49,48,1
My Home Industries,4.0,634,"Work Life Balance, Company Culture, Job Security",2.3k,43,3,60,2
The Lalit,3.6,634,"Promotions / Appraisal, Job Security, Salary & Benefits",1.6k,26,9,81,1
Ferrero,3.9,634,"Salary & Benefits, Skill Development / Learning, Job Security",2k,31,13,68,--
HCL Healthcare,4.6,633,"Company Culture, Work Life Balance, Skill Development / Learning",920,140,16,19,57
Magic Edtech,3.6,633,"Promotions / Appraisal, Salary & Benefits, Job Security",3.6k,81,10,21,6
Sintex BAPL,3.6,633,Salary & Benefits,2.3k,36,1,66,--
Kissht Finance,3.8,632,Salary & Benefits,2k,58,33,45,--
Shivalik Small Finance Bank,3.8,631,"Skill Development / Learning, Job Security",1.6k,62,9,46,3
