Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
Sutherland Global Services,3.4,8.7k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",34.1k,766,312,901,30
Equitas Small Finance Bank,4.4,8.5k,"Job Security, Company Culture, Work Life Balance",13.1k,758,21,397,32
EXL Service,3.6,8.5k,Job Security,44k,878,1.5k,799,20
Cipla,4.1,8.4k,"Salary & Benefits, Work Life Balance, Skill Development / Learning",25.9k,569,77,850,20
Samsung,3.9,8.3k,Salary & Benefits,26.2k,610,29,528,16
Ericsson,4.0,8.3k,"Company Culture, Work Life Balance",42.5k,462,32,998,17
Wells Fargo,3.7,8.2k,Work Life Balance,54.9k,672,63,855,13
Dr. Reddy's,4.0,8.1k,"Skill Development / Learning, Company Culture, Work Life Balance",25.7k,485,15,740,28
Optum Global Solutions,4.0,7.7k,"Job Security, Work Life Balance, Company Culture",48.2k,742,55,686,1
Delhivery,3.8,7.6k,Promotions / Appraisal,21.2k,594,159,656,66
ICICI Prudential Life Insurance,4.0,7.6k,"Job Security, Salary & Benefits, Skill Development / Learning",23k,464,231,625,11
JPMorgan Chase & Co.,3.8,7.5k,"Job Security, Salary & Benefits",84.1k,844,711,844,14
HGS,3.8,7.5k,Job Security,20.8k,268,15,968,32
JSW Steel,3.9,7.5k,"Job Security, Skill Development / Learning",30.2k,776,89,600,32
Jana Small Finance Bank,3.8,7.5k,Salary & Benefits,14.2k,300,48,623,16
Sun Pharmaceutical Industries,4.1,7.4k,"Salary & Benefits, Job Security, Skill Development / Learning",23.4k,637,371,594,17
Amazon Development Centre India,3.8,7.4k,"Company Culture, Work Life Balance",38.2k,864,10,20,12
Hexaware Technologies,3.4,7.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",52.9k,808,692,547,28
Ujjivan Small Finance Bank,4.0,7.3k,"Company Culture, Work Life Balance, Job Security",13.1k,306,164,579,24
Lupin,4.1,7.2k,"Skill Development / Learning, Company Culture, Work Life Balance",22.5k,431,47,764,11
Zydus Lifesciences,3.9,7.2k,"Salary & Benefits, Skill Development / Learning",19.8k,405,22,605,21
L&T Construction,4.0,7.2k,"Job Security, Skill Development / Learning, Salary & Benefits",19k,916,--,780,33
Hindustan Unilever,4.2,7.1k,"Skill Development / Learning, Company Culture, Work Life Balance",19.9k,450,22,704,3
Ekart Logistics,3.9,7.1k,Skill Development / Learning,16k,399,--,422,74
KPMG India,3.4,7k,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",64.7k,909,61,749,6
ITC,3.9,7k,"Job Security, Skill Development / Learning",24k,668,81,638,14
Axis Max Life Insurance,4.0,6.9k,"Skill Development / Learning, Company Culture, Work Life Balance",19.9k,392,166,495,8
Megha Engineering & Infrastructures,3.9,6.7k,Promotions / Appraisal,18.2k,548,26,539,38
Tata Projects,4.2,6.6k,"Job Security, Salary & Benefits, Company Culture",22k,570,30,540,48
Coforge,3.2,6.5k,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",48.2k,678,104,273,102
FIS,3.8,6.4k,"Work Life Balance, Company Culture",38.7k,530,144,721,17
Bajaj Life Insurance,3.9,6.4k,Salary & Benefits,17.3k,430,60,474,17
